before,after
"不得不说确实田园女权面对该打的人一副世界和平有理讲理的样子，反倒面对已经接受了尊重女性这个观念的男性话都不说直接出招👏
",田园 女权 一副 世界 和平 有理 讲理 ， 接受 尊重 女性 观念 男性 话 出招 👏 
"她们要是能理解这些话还会去打拳吗
",理解 话 打拳 
"我有点不大明白的地方，wsc算上层男性，那上层女性不就是富婆吗？每天背着名牌包包，一天到晚去美容院小日子过的比中层女性滋润多了吧？
",， wsc 算 上层 男性 ， 上层 女性 富婆 ？ 背着 名牌 包包 ， 一天到晚 美容院 小日子 中层 女性 滋润 ？ 
"""如果女权在现在还是在提出女性在社会中的不平等地位，那应该看一下本质，一切社会问题都是经济问题的反映，社会问题的产生是因为经济生产的影响，女性的权力在法律上书写，但在劳动中得不到完全体现，以及部分女性家庭中的地位较低，这是因为在市场中，资本有议价权，劳动力是有被议价权导致的",""" 女权 提出 女性 社会 中 平等 地位 ， 本质 ， 社会 经济 ， 社会 是因为 经济 生产 影响 ， 女性 权力 法律 书写 ， 劳动 中 得不到 体现 ， 女性 家庭 中 地位 低 ， 是因为 市场 中 ， 资本 议价 权 ， 劳动力 议价 权 导致 "
"没看懂就别发言哦，图上说的是真女权，和那些打拳的不一样的
",没看 懂 发言 ， 图上 真 女权 ， 打拳 
"深刻说明其实不是有些男的恶臭或者有些女人脑瘫，是网民平均思考能力和耐心都很低……
",深刻 男 恶臭 女人 脑瘫 ， 网民 平均 思考 能力 耐心 低 … … 
"同意，即使是男性，不符合一些特质的时候也会成为弱势群体，女权不是搞男女对立，更不是想法设法占便宜。
",同意 ， 男性 ， 符合 特质 弱势群体 ， 女权 搞 男女 对立 ， 想法 设法 占便宜 。 
"田园女拳：这是男人的事，凭什么让女人来做？ 自强女权：妇女可顶半边天，男人能做到的，女人也可以！
",田园 女拳 ： 男人 事 ， 女人 做 ？   自强 女权 ： 妇女 可顶 半边天 ， 男人 ， 女人 ！ 
"除了这两段话里男性女性出现太多次以外，其实挺接近李大佐对女权的看法的，“中国女权问题即便是一百万个问题可以批判，唯独就业问题不能批判，因为中国女性就业率真的很高”
",两段 话 里 男性 女性 太 ， 挺 接近 李 大佐 女权 看法 ， “ 中国 女权 一百万个 批判 ， 唯独 就业 批判 ， 中国 女性 就业率 高 ” 
"""也不尽然，我感觉现在大城市的很多有钱90",""" ， 感觉 大城市 有钱 90 "
"这就是田园女权天天打拳想看到的结果啊。你看你这微博下边，看到女权发言好多第一反应就是女拳，就想对拳。这就是在挤压正常女权的生存空间
",田园 女权 天天 打拳 想 。 微博 下边 ， 女权 发言 好多 第一 女拳 ， 想 拳 。 挤压 女权 生存空间 
"""更何况女性又本身承担着一部分男性不承担的责任，那么精英女性的压力就更大了",""" 更何况 女性 承担 一部分 男性 承担 责任 ， 精英 女性 压力 "
"我个人认为女性受到的不公通常是强权对弱势的压迫，而拳师总是引出性别对立而不去真正的批判强权，通过对男性的贬低达到心理的平衡。而普通男性除了受强权的压迫外还要平白受女拳的闲气，这哪说理去？
",女性 不公 强权 弱势 压迫 ， 拳师 引出 性别 对立 批判 强权 ， 男性 贬低 心理 平衡 。 男性 受 强权 压迫 外 平白 受女 拳 闲气 ， 说理 ？ 
"粉圈都有只花钱、做数据、做周边的中立核心派，用来放出去咬人的疯狗派，事后收场甩锅装白莲的圣母派。女权也有对男人重拳出击的，对女人循循善诱的。这怎么了嘛。就希望她们不要再内耗撕逼了，婚女单女，不舔男权的都是好女。
",粉圈 花钱 、 做 数据 、 做 周边 中立 核心 派 ， 放出去 咬人 疯狗 派 ， 事后 收场 甩锅装 白莲 圣母 派 。 女权 男人 重拳出击 ， 女人 循循善诱 。 。 希望 内耗 撕 逼 ， 婚 女单 女 ， 舔 男权 女 。 
"所以啊，你们要的到底是女权还是特权？
",， 女权 特权 ？ 
"女拳：那边的饮水机要qj我 女权：我能自己给饮水机换水
",女拳 ： 饮水机 qj   女权 ： 我能 饮水机 换水 
"那个什么犬没怎么看懂，我还以为瓶子又准备开团呢。结果是偏正常发言，这个话题太敏感了，最近还被营销号和某些公司割了一波女权和女拳的韭菜。
",犬 懂 ， 瓶子 开团 。 偏 发言 ， 话题 太 敏感 ， 营销 号 公司 割 一波 女权 女拳 韭菜 。 
"不是这个意思 是说女拳去负荷高层男性反而对中层男性过分苛责，而靠自己本事的上层女性才是真的付出得多。直接指出了所谓女拳的本质。不敢对真正掌握话语权的人说“不”
",  女拳 负荷 高层 男性 中层 男性 过分 苛责 ， 本事 上层 女性 付出 。 指出 女拳 本质 。 话语权 “ ” 
"那些田园女权，见到有钱的男人恨不得马上撅起屁股当母🐶 ，她们和女权也没什么关系，只是想当寄生虫不劳而获而已。连🐔 都不如，🐔 还可以说是劳动致富
",田园 女权 ， 有钱 男人 恨不得 撅 屁股 当母 🐶   ， 女权 没什么 关系 ， 想当 寄生虫 不劳而获 。 🐔   ， 🐔   劳动致富 
"""上中下层是不会越级的，清华的最差的学生也比蓝翔最好的学生分高，但是中层的要求50分比较好到手，而上层要求的100分男人想要获得会比女人轻松的多，这个就是古板歧视，加上在日常中还会有些其他的偏见，这些都是现在需要打破的",""" 中下层 越级 ， 清华 最差 学生 蓝翔 学生 分高 ， 中层 50 分 到手 ， 上层 100 分 男人 想要 女人 轻松 ， 古板 歧视 ， 日常 中 偏见 ， 打破 "
"所谓女拳就是要权利 但不要义务。好处要 责任不背。搞女性特权而已。
",女拳 权利   义务 。 好处   责任 不背 。 搞 女性 特权 。 
"女性是弱势但女拳不去跟上层男性叫板，反而一直批判中下层男性。有啥用
",女性 弱势 女拳 上层 男性 叫板 ， 批判 中下层 男性 。 
"目前就剩婚驴了，有点不想团结她们咋办
",剩婚 驴 ， 不想 团结 咋办 
"为什么要说 抛弃妻子 呢？难道女性离了男性就不能存活吗？
",要说   抛弃 妻子   ？ 女性 男性 存活 ？ 
"笑死我了，我男权？想多了，我从不男权，因为我知道，我妈妈生我养我不容易，他们就应该和我们男生一样平等，这是应得的，但我就是看不惯你们有的女生一副高高在上的样子。
",笑 死 ， 男权 ？ 想 ， 男权 ， ， 妈妈 生 我养 ， 男生 平等 ， 应得 ， 看不惯 女生 一副 高高在上 。 
"+10086 本来就是这样子 所以我无条件支持女权 也坚决反对女人骂女人 首先田园女权、极端女权就是男权对女权的污名化以及分裂 仔细去想想真的极端吗？不见得吧 还有在中国你想要开窗就得说要捅破天花板
",+ 10086   本来   无条件 支持 女权   反对 女人 骂 女人   田园 女权 、 女权 男权 女权 污名 化 分裂   仔细 想想 ？ 不见得   中国 想要 开窗 捅破 天花板 
"因为他们管别人家的孩子啊，所以极端女权吖
",家 孩子 ， 女权 吖 
"我很讨厌按头改姓的喷子。但什么叫不承担任何义务什么也不干呢，现在工作的女性多少啊……确实没有多少孩子能够和妈妈姓，哪怕是自己买房的收入较高的女人。大部分男人容易觉得没面子。
",讨厌 按头 改姓 喷子 。 承担 义务 干 ， 工作 女性 … … 孩子 妈妈 姓 ， 买房 收入 高 女人 。 男人 没面子 。 
"你没发现提倡冠姓权的这波人，是反婚育的男女分离主义吗?虽然很矛盾，但不能把她们和其他流派混为一谈。有个概念是公共议题，比如男性也能讨论女性的事情。也就是说，她们是站在局外人的角度上谈论冠姓权的。
",发现 提倡 冠姓 权 这波 ， 反 婚育 男女 分离主义 ? 矛盾 ， 流派 混为一谈 。 有个 概念 公共 议题 ， 男性 讨论 女性 事情 。 ， 站 局外人 角度 谈论 冠姓 权 。 
"某些人眼中的极端危险就是自己被禁言炸号，然而他们口中的“婚女”被家暴了，他们觉得这不关自己的事，或者用来论证自己的网暴行为与家暴相比没有“实际伤害”，对他们来说网上的舆论有没有伤害，似乎完全取决于是针对谁的。
",眼中 危险 禁言 炸号 ， 口中 “ 婚女 ” 家暴 ， 这不关 事 ， 论证 网 暴行 家暴 相比 “ 伤害 ” ， 网上 舆论 有没有 伤害 ， 取决于 。 
"停止讨论的话，女权主义者全变二极管思维，才会变得脆弱吧。我反对这个词是因为我观察到大量滥用它攻击个体的例子，包括家暴受害者。语言塑造思维，如果口号导致饭圈风气鉴定纯洁性那套，那这个口号需要被反思。
",停止 讨论 ， 女权主义者 全变 二极管 思维 ， 变得 脆弱 。 反对 词 是因为 观察 滥用 攻击 个体 例子 ， 家暴 受害者 。 语言 塑造 思维 ， 口号 导致 饭圈 风气 鉴定 纯洁性 那套 ， 口号 反思 。 
"""而且田园女权的脑子有很大问题，把社会对女性的关爱当作歧视，看到女性地铁车厢女性停车位，正常女孩的反应都是哇好贴心被宠爱的感觉真好，只有田园会觉得你这是在侮辱我不会开车把我当作笼中鸟关在同一个车厢里，所以很多时候正常女孩和田园女权也会吵，因为一个内心温柔大方一个内心阴暗暴力",""" 田园 女权 脑子 很大 ， 社会 女性 关爱 当作 歧视 ， 女性 地铁 车厢 女性 停车位 ， 女孩 贴心 宠爱 感觉 真 ， 田园 侮辱 开车 当作 笼中鸟 关 同一个 车厢 里 ， 女孩 田园 女权 吵 ， 内心 温柔 大方 内心 阴暗 暴力 "
"""你看不惯有的女生一副高高在上的样子跟我有什么关系？？",""" 看不惯 女生 一副 高高在上 关系 ？ ？ "
"不过人家会说是咱这种十八线城市才会遇到这种男的啦，自己的男人周围的男人不这样啦，笑死我了哈哈哈哈
",十八 线 城市 男 ， 男人 男人 ， 笑 死 哈哈哈哈 
"五官精致不母的…单五官精致娱乐圈都找不到几个。卖腐真的恶心，不能忍。
",五官 精致 不母 … 五官 精致 娱乐圈 找 。 卖腐 恶心 ， 忍 。 
"是啊，经常有男的对线的时候说你们田园女权要彩礼要车要房巴拉巴拉，我不婚好吧
",， 男 对线 田园 女权 彩礼 要车 房 巴拉巴 拉 ， 不婚 
"婚驴法律上都规定是男性私有物不属于人了，赶紧和女性人权解绑去求奴隶权妻权吧。女同也要和gay解绑才行
",婚驴 法律 男性 私有 物 ， 赶紧 女性 人权 解绑 求 奴隶 权妻权 。 女同 gay 解绑 行 
"可不是嘛，每当被蛆骂哄抬b价的时候，我都满脸❔，这关我什么事，什么屎盆子都往不婚女身上扣
",可不是 ， 蛆 骂 哄抬 b 价 ， 满脸 ❔ ， 这关 事 ， 屎盆子 不婚 女 扣 
"累了累了，这些男的天天嚷嚷：有本事不要彩礼啊，我……
",累 累 ， 男 天天 嚷嚷 ： 本事 彩礼 ， … … 
"妻权的福气，给男人男人要不要？当家庭妇男
",妻权 福气 ， 男人 男人 ？ 家庭 妇男 
"真的 看到有人说平权是女权 男女平等 我可去你爹的吧
",  有人 平权 女权   男女平等   爹 
"""我也是。虽然我才粉过两个月但真的超级恶心，想疯狂去找别的男的洗下眼结果又找不到",""" 。 粉过 月 超级 恶心 ， 想 疯狂 找 男 洗 下眼 找 "
"付出少了，不能争取继承权，或是没有理由，付出多了和男方会产生矛盾
",付出 少 ， 继承权 ， 理由 ， 付出 男方 产生矛盾 
"田园女权即使在现实中发生，可能对自己也没太大影响。田园同权可就不一样了，所以应该不会有～
",田园 女权 现实 中 ， 没太大 影响 。 田园 同权 ， ～ 
"平权就是夫权，一半我不许我老公占我便宜，一半我老公不能吃亏。一半妻权一半男权
",平权 夫权 ， 一半 不许 老公 占 便宜 ， 一半 老公 吃亏 。 一半 妻权 一半 男权 
"为啥要强调平权呢？意思是有好处不能落下男的，得跟男的商量，得男的同意
",为啥 平权 ？ 好处 落下 男 ， 男 商量 ， 男 同意 
"""我这里很多女的那得比男的高，但人家过的也很好，这是事实！而且很多男性喜欢找小的，刚刚出校门你让她工资能多高？",""" 女 男 高 ， ， 事实 ！ 男性 喜欢 找 ， 校门 工资 高 ？ "
"//@风吹花落水澹澹:她们可不觉得自己是田园女权，还以为自己是男权口中的真女权呢。觉得自己是被男权认可的，自豪着呢。
",/ / @ 风吹 花 落水 澹 澹 : 可不 田园 女权 ， 男权 口中 真 女权 。 男权 认可 ， 自豪 。 
"她们跳出来，恰好说明她们知道自己真实德行呗。那一条条的全都说中了，着急啊。整天到晚拿百度百科维基百科之类的定义来念经，也不想想这么多拜登韦恩斯坦加盟会带来什么变数。拜登加油
",跳 ， 真实 德行 。 一条条 中 ， 着急 。 整天 晚 百度 百科 维基百科 定义 念经 ， 想想 拜登 韦 恩斯 坦 加盟 带来 变数 。 拜登 加油 
"""你们女权怎么还不满意彩礼是干嘛的。不就是为了为了孩子姓吗？哦……跟我说干嘛我们反婚反育。",""" 女权 满意 彩礼 干嘛 。 孩子 姓 ？ … … 干嘛 反婚 反育 。 "
"田园女权说papi孩子跟父姓 所以她不是独立女性 所有结婚的女人都是婚驴 只有不婚不育才是高尚而先进的思想 这也就罢了 田园头子还说 papi买热搜攻击她 资本炸了她们的号 真是特别高看自己呢 就差说信女权得永生了
",田园 女权 papi 孩子 父姓   独立 女性   结婚 女人 婚 驴   不婚 育才 高尚 先进 思想     田园 头子   papi 买 热 搜 攻击   资本 炸 号   特别 高看   差 信 女权 永生 
"别了吧，毕竟大雷音寺到中国都要宣传女子改嫁下地狱的
",， 雷音寺 中国 宣传 女子 改嫁 地狱 
"不知道，我没想这么多，我感觉就是，女生能上学，能实现自己的梦想，能把握自己的命运，但是却被人当成生育工具，命运由他人决定，这就是压迫。
",， 没想 ， 感觉 ， 女生 上学 ， 梦想 ， 把握 命运 ， 当成 生育 工具 ， 命运 ， 压迫 。 
"问题是他口中的性自由肯定是针对女人的，你问问他男人用不用和女人一样限制性自由。
",口中 性 自由 女人 ， 问问 男人 不用 女人 限制性 自由 。 
"女权权益都危如累卵，何况是代孕，简直是如临深渊如履薄冰，万一合法化了，全完球了，还不是生死关头？那什么才是生死关头？
",女权 权益 危如累卵 ， 代孕 ， 如临深渊 如履薄冰 ， 合法化 ， 全 完球 ， 生死关头 ？ 生死关头 ？ 
"不就是有几个钱就觉得自己不会被抓去做卵妹所以才敢大放厥词
",钱 抓 做 卵妹 大放厥词 
"反正既然被割席了，那就大大方方割彻底了，再也不管她们的离婚、随母姓、房子归属。平权又要我们回去。只能说爱情不是你想买，想买就能买~~~
",反正 割席 ， 大大方方 割 ， 再也 离婚 、 随母 姓 、 房子 归属 。 平权 回去 。 爱情 想 买 ， 想 买 买 ~ ~ ~ 
"我觉得女拳快要来打博主了，准备好锅盖吧
",女拳 打博主 ， 锅盖 
"说的就是那些田园女权，跟那些愿意讲道理的人耍无赖要特权，真碰见不讲理的就没辙了，所以战斗力为负的
",田园 女权 ， 讲道理 耍无赖 特权 ， 真 碰见 不讲理 没辙 ， 战斗力 负 
"女权：搞这个我能赚多少钱？什么？没有，滚！
",女权 ： 搞 我能 赚 钱 ？ ？ ， 滚 ！ 
"""图一的后续，我真的震惊了，刷新了我认为的智商下线。难怪男人个个都只会跟反婚女权谈“你嫁不出去”“你以后别跟男人要彩礼”“你要权利不要义务”。感情他们真的觉得女人跟男人一样不结婚会灭绝？",""" 图一 后续 ， 震惊 ， 刷新 智商 下线 。 男人 个个 只会 反婚 女权 谈 “ 嫁不出去 ” “ 男人 彩礼 ” “ 权利 义务 ” 。 感情 女人 男人 结婚 灭绝 ？ "
"女权都是跟西方学的，只会瞎吵吵，搞不好还被利用一下。解决问题还得考政府，一点一点完善。等问题初有成效了，她们就站出来说要不是她们在舆论上引起广泛关注，怎么会这么快解决，巴拉巴拉。。。
",女权 西方 学 ， 只会 瞎 吵吵 ， 搞不好 利用 。 解决问题 考 政府 ， 一点一点 完善 。 初有 成效 ， 站 舆论 关注 ， 解决 ， 巴拉巴 拉 。 。 。 
"十倍工资的男人眼瞎看上田园女权了，可悲的疯狗却被以上两种人都放弃了。更可悲了。
",十倍 工资 男人 眼瞎 田园 女权 ， 可悲 疯狗 两种 放弃 。 可悲 。 
"我也觉得母系社会挺好的。生了孩子我不用负责任可太爽了，放弃父权求之不得。
",母系社会 挺 。 生 孩子 不用 负责 任可 太爽了 ， 放弃 父权 求之不得 。 
"女权能干啥 转发微博和私信骂人罢了
",女权 能干   转发 微博 私信 骂人 
"男拳拳法越来越神奇了，女权一会儿靠天价彩礼卖子宫活着，一会儿反婚育危害民族延续，合着你们说啥是啥？这就是言出法随吗？
",男拳 拳法 越来越 神奇 ， 女权 一会儿 天价 彩礼 卖 子宫 活着 ， 一会儿 反 婚育 危害 民族 延续 ， 合着 ？ 言出法随 ？ 
"记住一条，男权社会下，温柔用在女性身上绝对是贬意，用在男性身上那就是至高赞美了。
",记住 ， 男权 社会 ， 温柔 女性 贬意 ， 男性 高 赞美 。 
"所以男人们快反婚啊，为啥只在这儿哔哔赖赖
",男人 快反 婚 ， 为啥 哔 哔赖赖 
"在？十倍工资的男人在哪？我怎么没有？那我不是田园女权了？！我慌了
",？ 十倍 工资 男人 ？ ？ 田园 女权 ？ ！ 慌 
"哈哈哈哈我今天又刷到有人说起这事，我就想起那天的评论，真的呆了，一群憨憨学到了独立女性这个词就开始滥用
",哈哈哈哈 刷 有人 说起 事 ， 想起 那天 评论 ， 呆 ， 一群 憨 憨 学到 独立 女性 词 滥用 
"看看，人家家驴都知道给自己槽里添草料，离婚冷静期重要，代孕不重要。因为家驴需要离婚期维护卖身权益，但并不觉得自己会去代孕。怎么女权倒看不明白了？上赶着给家驴喂食？
",， 家 驴 槽 里 添 草料 ， 离婚 冷静 期 ， 代孕 。 家 驴 离婚 期 维护 卖身 权益 ， 代孕 。 女权 倒 ？ 赶着 给家 驴 喂食 ？ 
"""就是说对女权毫无益处，不能等同于女权。",""" 女权 益处 ， 等同于 女权 。 "
"""女权本身就是人权，女拳不是",""" 女权 人权 ， 女拳 "
"我是女生，我非常同意这个观点，我认为正常的女权就是追求男女平等，而不是女性至上，现在好多女生思想都被洗脑了，觉得女生做什么都是对的，女生就应该怎样怎样，打着女权主义的旗号追求高于男性的更多的权利。
",女生 ， 同意 观点 ， 女权 追求 男女平等 ， 女性 至上 ， 好多 女生 思想 洗脑 ， 女生 做 ， 女生 ， 打着 女权主义 旗号 追求 高于 男性 权利 。 
"说的很对，我是女生但是我很赞成你说的。现在很多女生都是打着女权主义的幌子争取高于男性的权利，说什么都是对的，做什么都是应该的，要么就是拿生孩子来说事，我就纳闷了，生不生不都是自己的选择吗？还能逼着硬生?
",， 女生 赞成 。 女生 打着 女权主义 幌子 高于 男性 权利 ， ， 做 ， 拿生 孩子 事 ， 纳闷 ， 生不生 选择 ？ 逼 硬生 ? 
"你要觉得是责任也不用结婚生子，有欲望马路花几个钱嫖一下即可。人类养育子嗣更多是因为感情，你要没有感情，也别祸害你未来的孩子
",责任 不用 结婚 生子 ， 欲望 马路 花 钱 嫖 即可 。 人类 养育 子嗣 是因为 感情 ， 感情 ， 祸害 未来 孩子 
"我是女生，我觉得确实有部分女生“只想要特权却不愿承担责任义务”，打着女权主义的旗号，想要争取比男性更高的权利。男女平等才是女权的真正含义。而不是男生必须买房买车，出门哪有女生花钱（类似这样的）
",女生 ， 女生 “ 想要 特权 不愿 承担责任 义务 ” ， 打着 女权主义 旗号 ， 想要 男性 高 权利 。 男女平等 女权 含义 。 男生 买房 买车 ， 出门 哪有 女生 花钱 （ 类似 ） 
"""很多就有点迷人了，前面还说待遇不行，后面就说大多比男的工资还高，前后挺矛盾啊。",""" 迷人 ， 待遇 不行 ， 男 工资 高 ， 挺 矛盾 。 "
"她好贱呐 我以前关注她 她还能说人话
",贱   关注   人话 
"截图中的“憨批”是什么意思？这不是在骂女人吗？这是在用女性生_殖_器来骂女人。既然反对骂“婚驴”，觉得婚驴这个词侮辱女性，为什么还要用“批”这种更侮辱女性的词汇？
",截图 中 “ 憨批 ” ？ 骂 女人 ？ 女性 生 _ 殖 _ 器来 骂 女人 。 反对 骂 “ 婚驴 ” ， 婚驴 词 侮辱 女性 ， “ 批 ” 侮辱 女性 词汇 ？ 
"""知乎上的反女权好像排犹一样，不婚主义被看做剥夺""""家庭的财产""""，不同的是德国没了犹太人还可以引进土耳其人，国男沦丧到今天的地位有点可怕了，种族主义啥的都来了，一点也不意外，女权不是第一个也不是最后一个加速器",""" 知乎 反 女权 排 犹 ， 不婚 主义 看做 剥夺 "" "" 家庭 财产 "" "" ， 德国 犹太人 引进 土耳其人 ， 国男 沦丧 地位 可怕 ， 种族主义 ， 一点 意外 ， 女权 第一个 加速器 "
"女拳是无义务权利，女权是义务权利对等。
",女拳 义务 权利 ， 女权 义务 权利 。 
"我爸最近也开始变本加厉地逼迫我相亲找对象，还说出不管以后离不离，现在先嫁出去再说的这种话
",我爸 变本加厉 逼迫 相亲 找对象 ， 说出 离不离 ， 先 嫁出去 话 
"连作为一个人的权利都被剥夺了，还女权？这种应该立法处罚啊，罚得很了就不敢了，未成年只能依赖家里了
",权利 剥夺 ， 女权 ？ 立法 处罚 ， 罚得 ， 未成年 依赖 家里 
"""为什么要女权救，不应该联系警方政府部门吗？这估计只能换个父母，不然还是会被逼着嫁人。",""" 女权 救 ， 警方 政府部门 ？ 估计 换个 父母 ， 逼 嫁人 。 "
"不就是执法机构管不了 才让网友管么 而且微博女权师不是战斗力惊人么 和那些村里老男人撕逼不正合适么
",执法 机构 管不了   网友   微博 女权 师 战斗力 惊人   村里 男人 撕 逼 正合适 
"我跟我朋友打赌说在微博上骂田园女权肯定有人来喷，是那种只要你是男性再提到女权二字就会有女性过来
",朋友 打赌 微博上 骂 田园 女权 有人 喷 ， 男性 提到 女权 二字 女性 
"""评论区都在讽刺女权  神经病吧  这不是父亲干涉孩子婚姻自由吗 ？ 跟女权有啥关系？",""" 评论 区 讽刺 女权     神经病     父亲 干涉 孩子 婚姻自由   ？   女权 关系 ？ "
"关键不犯法啊，你让人执法机构怎么管？难道女权平时管的是执法机构应该做的事情？
",关键 犯法 ， 执法 机构 ？ 女权 平时 执法 机构 做 事情 ？ 
"男权搞出来封建压榨制度，女权为什么买单，一头雾水
",男权 搞 封建 压榨 制度 ， 女权 买单 ， 一头雾水 
"您轻飘飘一句这种事儿很普遍没法管完事，又是在唱什么角色？出世的高人？女权人士至少在呼吁改变现状，您做了什么贡献，什么资格这么阴阳怪气的带女权节奏？
",轻飘飘 事儿 没法 完事 ， 唱 角色 ？ 出世 高人 ？ 女权 人士 至少 呼吁 改变现状 ， 做 贡献 ， 资格 阴阳怪气 女权 节奏 ？ 
"早结婚没毛病?我觉得你有毛病，这种早婚早该禁止了，什么年纪做什么事，该读书的年纪结什么婚??
",早 结婚 毛病 ? 毛病 ， 早婚 早该 禁止 ， 年纪 做 事 ， 读书 年纪 结 婚 ? ? 
"我挺喜欢《我是余欢水》的，莫名其妙就被一些打着女权主义幌子的人给了差评。差评理由也不是电视剧不好看，就是第12级有映射女权主义的台词。
",挺 喜欢 《 余 欢水 》 ， 莫名其妙 打着 女权主义 幌子 差评 。 差评 理由 电视剧 好看 ， 12 级 映射 女权主义 台词 。 
"非得扯两句田园女权才能满足你loser的心理吧
",扯 两句 田园 女权 loser 心理 
"没错，以前我是完全不会把男同单独分离出来看待的，觉得LGBT所有人都该被同等对待。现在想法不一样了。男同，首先是男人，因为自己没有子宫，因为身处父权制，就非常容易去“吃”女人。当然不是说所有男同，是指那些通过代孕获得孩子的男同，无耻。
",没错 ， 男同 单独 分离出来 看待 ， LGBT 所有人 同等对待 。 想法 。 男同 ， 男人 ， 子宫 ， 身处 父权制 ， 非常容易 “ 吃 ” 女人 。 男同 ， 指 代孕 孩子 男同 ， 无耻 。 
"集体堕男胎是韩国女权的建议。国内的极端女权最狠也就是国外买精生子，生女儿不生儿子
",集体 堕 男胎 韩国 女权 建议 。 国内 女权 最狠 国外 买精 生子 ， 生 女儿 不生 儿子 
"我一想到不到人口总数百分之五的男同贡献了性侵儿童百分之三十的数据，我对他们就恶心到极点。不想管。婚女是堕女胎打小三，懒得管
",想到 人口总数 百分之五 男同 贡献 性侵 儿童 百分之三十 数据 ， 恶心 到极点 。 不想 。 婚女 堕 女胎 打小三 ， 懒得 
"""而且我特别想知道 很多男性说 我不反感女权 之反感田园女权。问问他们对平权有什么贡献 只有在极端女权出现的时候 挑刺 嘲讽 反对。真的女性被打或遭受不公平待遇全变哑巴了。所以我特不喜欢平权男。",""" 特别 想   男性   反感 女权   反感 田园 女权 。 问问 平权 贡献   女权   挑刺   嘲讽   反对 。 女性 遭受 公平 待遇 全变 哑巴 。 我特 喜欢 平权 男 。 "
"但凡能让有钱男人看上的能去搞女拳？死循环了
",有钱 男人 看上 搞 女拳 ？ 死循环 
"起先我对男同的态度是模棱两可的，经常是觉得他们挺可怜的，被世俗所不容。后来才知道闺蜜的前夫竟然是gay，骗婚娶了闺蜜，生了孩子后再也不碰她，跑到大城市去躲着。更可恶的是闺蜜在父母的主张下要求离婚，她前夫死活不肯离，直到闺蜜出了车祸，才罢休。从此，我就特别厌恶男性同性恋！我呸。。。
",男同 态度 模棱两可 ， 挺 可怜 ， 世俗 不容 。 闺蜜 前夫 gay ， 骗 婚娶 闺蜜 ， 生 孩子 再也 碰 ， 跑 大城市 躲 。 可恶 闺蜜 父母 离婚 ， 前夫 死活 不肯 ， 闺蜜出 车祸 ， 罢休 。 ， 特别 厌恶 男性 同性恋 ！ 。 。 。 
"什么时候你被女的强奸底下一群男人挣着说“我是个男人我也觉得是这个人太骚”，我们就帮你说话
",女 强奸 底下 一群 男人 挣着 “ 男人 人太骚 ” ， 帮 说话 
"我也支持极端女权，极端女权最多就是不婚单单身生育，和男性画个分界线而已。而极端男权很可怕，他们不是不婚不育，而是一定要婚要育，但是对女性是当奴隶的，言语间都是三天不打上房揭瓦的论调，什么三年不亏十年血赚，让我觉得生命安全都不保。极端女权只管自己，极端男权要奴隶，差异清晰可见。
",支持 女权 ， 女权 不婚 身 生育 ， 男性 画个 分界线 。 男权 可怕 ， 不婚 不育 ， 要婚 要育 ， 女性 奴隶 ， 言语 间 三天 上房 揭瓦 论调 ， 三年 不亏 十年 血 赚 ， 生命安全 不保 。 女权 只管 ， 男权 奴隶 ， 差异 清晰可见 。 
"女拳可不在意真正需要保护的女孩子的生死
",女拳 可不 在意 保护 女孩子 生死 
"""你分的清妻权和女权再讲话吧。",""" 分 清 妻权 女权 讲话 。 "
"我也是，但当身边的人被男同骗婚后，真的对这个群体开始厌恶
",， 身边 男同 骗 婚后 ， 群体 厌恶 
"我看到一些女权Kol的声音是不要攻击个人，而是攻击“婚姻”这种结构/制度，事实上使用“驴”与“鼎”这套话术的很多女权博主都已婚未离，或许是因为她们这种攻击制度的立场才让她们没有那么大负担地使用这套有些难听的话语吧。
",女权 Kol 声音 攻击 ， 攻击 “ 婚姻 ” 结构 / 制度 ， 事实上 “ 驴 ” “ 鼎 ” 套话 术 女权 博主 已婚 未离 ， 是因为 攻击 制度 立场 负担 这套 难听 话语 。 
"女生们不仅担心骗婚骗孕 还担心对象越来越难找了……
",女生 担心 骗婚 骗孕   担心 对象 越来越 难 找 … … 
"知乎极端男权给女性起的侮辱词，谐音中华田园犬（投诉）-中华田园女犬（辱人投诉），中华田园女权（投诉无效）。
",知乎 男权 女性 侮辱 词 ， 谐音 中华 田园 犬 （ 投诉 ） - 中华 田园 女犬 （ 辱 投诉 ） ， 中华 田园 女权 （ 投诉 无效 ） 。 
"尊重驴不带套的权力，意外怀孕的权力，尊重就vans
",尊重 驴 带套 权力 ， 意外 怀孕 权力 ， 尊重 vans 
"按比例算的话，男同就几千万，可是同妻也有几千万，估计大部分男同都骗婚了，享受着性别红利，还要祸害女性，还觉得自己很可怜，我觉得他们比直男还过分
",比例 算 ， 男同 几千万 ， 同妻 几千万 ， 估计 男同 骗婚 ， 享受 性别 红利 ， 祸害 女性 ， 可怜 ， 比直 男 过分 
"其实我理解是极端派只是想改良法律，在婚姻制度里面偏斜女性多点就行，但要废除婚姻制度基本是妄想所以只能自身做起不结婚
",理解 极端派 想 改良 法律 ， 婚姻制度 偏斜 女性 多点 就行 ， 废除 婚姻制度 妄想 做起 结婚 
